technology,region,energy_system_scenario,freight_demand_scenario,year,number_of_locomotives,number_of_powertrains,number_of_tender_cars,number_of_freight_cars,cost_per_locomotive ($),cost_per_powertrain ($),cost_per_tender_car ($),cost_per_freight_car ($),train_O&M_cost ($/year)
diesel,south_east,business_as_usual,decrease_agricultual_production,2025,2490,2490,0,177717,3500000,320000,0,125000,6500000000
diesel,north_central,business_as_usual,decrease_agricultual_production,2025,2746,2746,0,195020,3500000,320000,0,125000,6500000000
diesel,central,business_as_usual,decrease_agricultual_production,2025,2916,2916,0,172641,3500000,320000,0,125000,6500000000
diesel,texas,business_as_usual,decrease_agricultual_production,2025,3270,3270,0,172576,3500000,320000,0,125000,6500000000
diesel,north_west,business_as_usual,decrease_agricultual_production,2025,3059,3059,0,187775,3500000,320000,0,125000,6500000000
diesel,south_west,business_as_usual,decrease_agricultual_production,2025,2496,2496,0,155046,3500000,320000,0,125000,6500000000
diesel,california,business_as_usual,decrease_agricultual_production,2025,2501,2501,0,170027,3500000,320000,0,125000,6500000000
diesel,north_east,business_as_usual,population_shift,2025,2971,2971,0,162504,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,business_as_usual,population_shift,2025,2525,2525,0,184206,3500000,320000,0,125000,6500000000
diesel,south_east,business_as_usual,population_shift,2025,2464,2464,0,220880,3500000,320000,0,125000,6500000000
diesel,north_central,business_as_usual,population_shift,2025,2737,2737,0,163535,3500000,320000,0,125000,6500000000
diesel,central,business_as_usual,population_shift,2025,2319,2319,0,157227,3500000,320000,0,125000,6500000000
diesel,texas,business_as_usual,population_shift,2025,2902,2902,0,174064,3500000,320000,0,125000,6500000000
diesel,north_west,business_as_usual,population_shift,2025,2272,2272,0,182317,3500000,320000,0,125000,6500000000
diesel,south_west,business_as_usual,population_shift,2025,3010,3010,0,199491,3500000,320000,0,125000,6500000000
diesel,california,business_as_usual,population_shift,2025,2401,2401,0,197921,3500000,320000,0,125000,6500000000
diesel,north_east,business_as_usual,increase_maritime,2025,2764,2764,0,169022,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,business_as_usual,increase_maritime,2025,2951,2951,0,189670,3500000,320000,0,125000,6500000000
diesel,south_east,business_as_usual,increase_maritime,2025,2388,2388,0,161927,3500000,320000,0,125000,6500000000
diesel,north_central,business_as_usual,increase_maritime,2025,2955,2955,0,218569,3500000,320000,0,125000,6500000000
diesel,central,business_as_usual,increase_maritime,2025,2783,2783,0,208596,3500000,320000,0,125000,6500000000
diesel,texas,business_as_usual,increase_maritime,2025,2808,2808,0,177352,3500000,320000,0,125000,6500000000
diesel,north_west,business_as_usual,increase_maritime,2025,2664,2664,0,218336,3500000,320000,0,125000,6500000000
diesel,south_west,business_as_usual,increase_maritime,2025,2363,2363,0,191818,3500000,320000,0,125000,6500000000
diesel,california,business_as_usual,increase_maritime,2025,2187,2187,0,170925,3500000,320000,0,125000,6500000000
diesel,north_east,50%_reduction_2050,business_as_usual,2025,2792,2792,0,187002,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,50%_reduction_2050,business_as_usual,2025,2279,2279,0,195274,3500000,320000,0,125000,6500000000
diesel,south_east,50%_reduction_2050,business_as_usual,2025,2204,2204,0,190128,3500000,320000,0,125000,6500000000
diesel,north_central,50%_reduction_2050,business_as_usual,2025,2723,2723,0,196231,3500000,320000,0,125000,6500000000
diesel,central,50%_reduction_2050,business_as_usual,2025,2883,2883,0,160451,3500000,320000,0,125000,6500000000
diesel,texas,50%_reduction_2050,business_as_usual,2025,2751,2751,0,176952,3500000,320000,0,125000,6500000000
diesel,north_west,50%_reduction_2050,business_as_usual,2025,2722,2722,0,154859,3500000,320000,0,125000,6500000000
diesel,south_west,50%_reduction_2050,business_as_usual,2025,2883,2883,0,213020,3500000,320000,0,125000,6500000000
diesel,california,50%_reduction_2050,business_as_usual,2025,2275,2275,0,214014,3500000,320000,0,125000,6500000000
diesel,north_east,50%_reduction_2050,agricultual_production_shift,2025,3190,3190,0,168088,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,50%_reduction_2050,agricultual_production_shift,2025,2282,2282,0,164386,3500000,320000,0,125000,6500000000
diesel,south_east,50%_reduction_2050,agricultual_production_shift,2025,2381,2381,0,215233,3500000,320000,0,125000,6500000000
diesel,north_central,50%_reduction_2050,agricultual_production_shift,2025,2622,2622,0,162952,3500000,320000,0,125000,6500000000
diesel,central,50%_reduction_2050,agricultual_production_shift,2025,3175,3175,0,210254,3500000,320000,0,125000,6500000000
diesel,texas,50%_reduction_2050,agricultual_production_shift,2025,2198,2198,0,216755,3500000,320000,0,125000,6500000000
diesel,north_west,50%_reduction_2050,agricultual_production_shift,2025,2276,2276,0,180787,3500000,320000,0,125000,6500000000
diesel,south_west,50%_reduction_2050,agricultual_production_shift,2025,2656,2656,0,172002,3500000,320000,0,125000,6500000000
diesel,california,50%_reduction_2050,agricultual_production_shift,2025,2831,2831,0,197466,3500000,320000,0,125000,6500000000
diesel,north_east,50%_reduction_2050,decrease_agricultual_production,2025,3201,3201,0,171302,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,50%_reduction_2050,decrease_agricultual_production,2025,3120,3120,0,212333,3500000,320000,0,125000,6500000000
diesel,south_east,50%_reduction_2050,decrease_agricultual_production,2025,2662,2662,0,182603,3500000,320000,0,125000,6500000000
diesel,north_central,50%_reduction_2050,decrease_agricultual_production,2025,2372,2372,0,167173,3500000,320000,0,125000,6500000000
diesel,central,50%_reduction_2050,decrease_agricultual_production,2025,2233,2233,0,159276,3500000,320000,0,125000,6500000000
diesel,texas,50%_reduction_2050,decrease_agricultual_production,2025,3025,3025,0,194088,3500000,320000,0,125000,6500000000
diesel,north_west,50%_reduction_2050,decrease_agricultual_production,2025,2430,2430,0,153824,3500000,320000,0,125000,6500000000
diesel,south_west,50%_reduction_2050,decrease_agricultual_production,2025,2561,2561,0,197243,3500000,320000,0,125000,6500000000
diesel,california,50%_reduction_2050,decrease_agricultual_production,2025,2780,2780,0,211714,3500000,320000,0,125000,6500000000
diesel,north_east,50%_reduction_2050,population_shift,2025,2591,2591,0,155768,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,50%_reduction_2050,population_shift,2025,2292,2292,0,155616,3500000,320000,0,125000,6500000000
diesel,south_east,50%_reduction_2050,population_shift,2025,2279,2279,0,185675,3500000,320000,0,125000,6500000000
diesel,north_central,50%_reduction_2050,population_shift,2025,2483,2483,0,160233,3500000,320000,0,125000,6500000000
diesel,central,50%_reduction_2050,population_shift,2025,2261,2261,0,195385,3500000,320000,0,125000,6500000000
diesel,texas,50%_reduction_2050,population_shift,2025,2837,2837,0,206024,3500000,320000,0,125000,6500000000
diesel,north_west,50%_reduction_2050,population_shift,2025,3165,3165,0,156822,3500000,320000,0,125000,6500000000
diesel,south_west,50%_reduction_2050,population_shift,2025,2478,2478,0,217321,3500000,320000,0,125000,6500000000
diesel,california,50%_reduction_2050,population_shift,2025,2814,2814,0,196270,3500000,320000,0,125000,6500000000
diesel,north_east,50%_reduction_2050,increase_maritime,2025,2317,2317,0,215387,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,50%_reduction_2050,increase_maritime,2025,3146,3146,0,175345,3500000,320000,0,125000,6500000000
diesel,south_east,50%_reduction_2050,increase_maritime,2025,2250,2250,0,202810,3500000,320000,0,125000,6500000000
diesel,north_central,50%_reduction_2050,increase_maritime,2025,2445,2445,0,185835,3500000,320000,0,125000,6500000000
diesel,central,50%_reduction_2050,increase_maritime,2025,2563,2563,0,186402,3500000,320000,0,125000,6500000000
diesel,texas,50%_reduction_2050,increase_maritime,2025,3258,3258,0,150341,3500000,320000,0,125000,6500000000
diesel,north_west,50%_reduction_2050,increase_maritime,2025,2224,2224,0,174321,3500000,320000,0,125000,6500000000
diesel,south_west,50%_reduction_2050,increase_maritime,2025,2815,2815,0,179686,3500000,320000,0,125000,6500000000
diesel,california,50%_reduction_2050,increase_maritime,2025,2288,2288,0,205520,3500000,320000,0,125000,6500000000
diesel,north_east,net_zero_2050,business_as_usual,2025,2440,2440,0,165939,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,net_zero_2050,business_as_usual,2025,2198,2198,0,217799,3500000,320000,0,125000,6500000000
diesel,south_east,net_zero_2050,business_as_usual,2025,3248,3248,0,151420,3500000,320000,0,125000,6500000000
diesel,north_central,net_zero_2050,business_as_usual,2025,3011,3011,0,186848,3500000,320000,0,125000,6500000000
diesel,central,net_zero_2050,business_as_usual,2025,2289,2289,0,200891,3500000,320000,0,125000,6500000000
diesel,texas,net_zero_2050,business_as_usual,2025,2237,2237,0,216840,3500000,320000,0,125000,6500000000
diesel,north_west,net_zero_2050,business_as_usual,2025,2564,2564,0,215230,3500000,320000,0,125000,6500000000
diesel,south_west,net_zero_2050,business_as_usual,2025,3029,3029,0,222453,3500000,320000,0,125000,6500000000
diesel,california,net_zero_2050,business_as_usual,2025,2297,2297,0,152473,3500000,320000,0,125000,6500000000
diesel,north_east,net_zero_2050,agricultual_production_shift,2025,2717,2717,0,219888,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,net_zero_2050,agricultual_production_shift,2025,3072,3072,0,206448,3500000,320000,0,125000,6500000000
diesel,south_east,net_zero_2050,agricultual_production_shift,2025,2727,2727,0,212468,3500000,320000,0,125000,6500000000
diesel,north_central,net_zero_2050,agricultual_production_shift,2025,3070,3070,0,207521,3500000,320000,0,125000,6500000000
diesel,central,net_zero_2050,agricultual_production_shift,2025,2786,2786,0,180511,3500000,320000,0,125000,6500000000
diesel,texas,net_zero_2050,agricultual_production_shift,2025,2774,2774,0,162301,3500000,320000,0,125000,6500000000
diesel,north_west,net_zero_2050,agricultual_production_shift,2025,2258,2258,0,161620,3500000,320000,0,125000,6500000000
diesel,south_west,net_zero_2050,agricultual_production_shift,2025,3234,3234,0,179755,3500000,320000,0,125000,6500000000
diesel,california,net_zero_2050,agricultual_production_shift,2025,2287,2287,0,196656,3500000,320000,0,125000,6500000000
diesel,north_east,net_zero_2050,decrease_agricultual_production,2025,3118,3118,0,184511,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,net_zero_2050,decrease_agricultual_production,2025,2209,2209,0,189331,3500000,320000,0,125000,6500000000
diesel,south_east,net_zero_2050,decrease_agricultual_production,2025,2368,2368,0,213921,3500000,320000,0,125000,6500000000
diesel,north_central,net_zero_2050,decrease_agricultual_production,2025,3228,3228,0,205099,3500000,320000,0,125000,6500000000
diesel,central,net_zero_2050,decrease_agricultual_production,2025,2660,2660,0,199148,3500000,320000,0,125000,6500000000
diesel,texas,net_zero_2050,decrease_agricultual_production,2025,2421,2421,0,204610,3500000,320000,0,125000,6500000000
diesel,north_west,net_zero_2050,decrease_agricultual_production,2025,3125,3125,0,170593,3500000,320000,0,125000,6500000000
diesel,south_west,net_zero_2050,decrease_agricultual_production,2025,2438,2438,0,186631,3500000,320000,0,125000,6500000000
diesel,california,net_zero_2050,decrease_agricultual_production,2025,3055,3055,0,209546,3500000,320000,0,125000,6500000000
diesel,north_east,net_zero_2050,population_shift,2025,2532,2532,0,186065,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,net_zero_2050,population_shift,2025,2845,2845,0,218704,3500000,320000,0,125000,6500000000
diesel,south_east,net_zero_2050,population_shift,2025,3167,3167,0,190080,3500000,320000,0,125000,6500000000
diesel,north_central,net_zero_2050,population_shift,2025,2707,2707,0,157034,3500000,320000,0,125000,6500000000
diesel,central,net_zero_2050,population_shift,2025,2680,2680,0,188878,3500000,320000,0,125000,6500000000
diesel,texas,net_zero_2050,population_shift,2025,2624,2624,0,217715,3500000,320000,0,125000,6500000000
diesel,north_west,net_zero_2050,population_shift,2025,2261,2261,0,150388,3500000,320000,0,125000,6500000000
diesel,south_west,net_zero_2050,population_shift,2025,3139,3139,0,212619,3500000,320000,0,125000,6500000000
diesel,california,net_zero_2050,population_shift,2025,2965,2965,0,188291,3500000,320000,0,125000,6500000000
diesel,north_east,net_zero_2050,increase_maritime,2025,2449,2449,0,215473,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,net_zero_2050,increase_maritime,2025,2596,2596,0,167359,3500000,320000,0,125000,6500000000
diesel,south_east,net_zero_2050,increase_maritime,2025,2368,2368,0,190214,3500000,320000,0,125000,6500000000
diesel,north_central,net_zero_2050,increase_maritime,2025,2916,2916,0,222587,3500000,320000,0,125000,6500000000
diesel,central,net_zero_2050,increase_maritime,2025,2834,2834,0,223117,3500000,320000,0,125000,6500000000
diesel,texas,net_zero_2050,increase_maritime,2025,2947,2947,0,220592,3500000,320000,0,125000,6500000000
diesel,north_west,net_zero_2050,increase_maritime,2025,2805,2805,0,219297,3500000,320000,0,125000,6500000000
diesel,south_west,net_zero_2050,increase_maritime,2025,2678,2678,0,215170,3500000,320000,0,125000,6500000000
diesel,california,net_zero_2050,increase_maritime,2025,2293,2293,0,207147,3500000,320000,0,125000,6500000000
biodiesel,north_east,business_as_usual,business_as_usual,2025,2196,2196,0,191830,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,business_as_usual,business_as_usual,2025,2464,2464,0,196621,3500000,320000,0,125000,6500000000
biodiesel,south_east,business_as_usual,business_as_usual,2025,2585,2585,0,217123,3500000,320000,0,125000,6500000000
biodiesel,north_central,business_as_usual,business_as_usual,2025,3066,3066,0,215980,3500000,320000,0,125000,6500000000
biodiesel,central,business_as_usual,business_as_usual,2025,3232,3232,0,188735,3500000,320000,0,125000,6500000000
biodiesel,texas,business_as_usual,business_as_usual,2025,3132,3132,0,207593,3500000,320000,0,125000,6500000000
biodiesel,north_west,business_as_usual,business_as_usual,2025,2472,2472,0,212928,3500000,320000,0,125000,6500000000
biodiesel,south_west,business_as_usual,business_as_usual,2025,3108,3108,0,180820,3500000,320000,0,125000,6500000000
biodiesel,california,business_as_usual,business_as_usual,2025,2844,2844,0,191438,3500000,320000,0,125000,6500000000
biodiesel,north_east,business_as_usual,agricultual_production_shift,2025,2877,2877,0,210808,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,business_as_usual,agricultual_production_shift,2025,3067,3067,0,221070,3500000,320000,0,125000,6500000000
biodiesel,south_east,business_as_usual,agricultual_production_shift,2025,2329,2329,0,197036,3500000,320000,0,125000,6500000000
biodiesel,north_central,business_as_usual,agricultual_production_shift,2025,3097,3097,0,175379,3500000,320000,0,125000,6500000000
biodiesel,central,business_as_usual,agricultual_production_shift,2025,2912,2912,0,156570,3500000,320000,0,125000,6500000000
biodiesel,texas,business_as_usual,agricultual_production_shift,2025,2590,2590,0,158192,3500000,320000,0,125000,6500000000
biodiesel,north_west,business_as_usual,agricultual_production_shift,2025,3202,3202,0,161738,3500000,320000,0,125000,6500000000
biodiesel,south_west,business_as_usual,agricultual_production_shift,2025,2743,2743,0,184625,3500000,320000,0,125000,6500000000
biodiesel,california,business_as_usual,agricultual_production_shift,2025,3115,3115,0,209031,3500000,320000,0,125000,6500000000
biodiesel,north_east,business_as_usual,decrease_agricultual_production,2025,2640,2640,0,153542,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,2699,2699,0,199515,3500000,320000,0,125000,6500000000
biodiesel,south_east,business_as_usual,decrease_agricultual_production,2025,3087,3087,0,221133,3500000,320000,0,125000,6500000000
biodiesel,north_central,business_as_usual,decrease_agricultual_production,2025,3266,3266,0,177378,3500000,320000,0,125000,6500000000
biodiesel,central,business_as_usual,decrease_agricultual_production,2025,2490,2490,0,198406,3500000,320000,0,125000,6500000000
biodiesel,texas,business_as_usual,decrease_agricultual_production,2025,2447,2447,0,217188,3500000,320000,0,125000,6500000000
biodiesel,north_west,business_as_usual,decrease_agricultual_production,2025,2678,2678,0,185788,3500000,320000,0,125000,6500000000
biodiesel,south_west,business_as_usual,decrease_agricultual_production,2025,2278,2278,0,165436,3500000,320000,0,125000,6500000000
biodiesel,california,business_as_usual,decrease_agricultual_production,2025,2618,2618,0,177878,3500000,320000,0,125000,6500000000
biodiesel,north_east,business_as_usual,population_shift,2025,2283,2283,0,187448,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,business_as_usual,population_shift,2025,3243,3243,0,164502,3500000,320000,0,125000,6500000000
biodiesel,south_east,business_as_usual,population_shift,2025,2615,2615,0,188878,3500000,320000,0,125000,6500000000
biodiesel,north_central,business_as_usual,population_shift,2025,2493,2493,0,192090,3500000,320000,0,125000,6500000000
biodiesel,central,business_as_usual,population_shift,2025,2554,2554,0,185519,3500000,320000,0,125000,6500000000
biodiesel,texas,business_as_usual,population_shift,2025,3058,3058,0,160377,3500000,320000,0,125000,6500000000
biodiesel,north_west,business_as_usual,population_shift,2025,2213,2213,0,200569,3500000,320000,0,125000,6500000000
biodiesel,south_west,business_as_usual,population_shift,2025,2485,2485,0,173952,3500000,320000,0,125000,6500000000
biodiesel,california,business_as_usual,population_shift,2025,2425,2425,0,163326,3500000,320000,0,125000,6500000000
biodiesel,north_east,business_as_usual,increase_maritime,2025,2797,2797,0,166755,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,business_as_usual,increase_maritime,2025,2848,2848,0,167696,3500000,320000,0,125000,6500000000
biodiesel,south_east,business_as_usual,increase_maritime,2025,2783,2783,0,174172,3500000,320000,0,125000,6500000000
biodiesel,north_central,business_as_usual,increase_maritime,2025,3228,3228,0,208429,3500000,320000,0,125000,6500000000
biodiesel,central,business_as_usual,increase_maritime,2025,3119,3119,0,206243,3500000,320000,0,125000,6500000000
biodiesel,texas,business_as_usual,increase_maritime,2025,2410,2410,0,214596,3500000,320000,0,125000,6500000000
biodiesel,north_west,business_as_usual,increase_maritime,2025,2203,2203,0,160353,3500000,320000,0,125000,6500000000
biodiesel,south_west,business_as_usual,increase_maritime,2025,3020,3020,0,159383,3500000,320000,0,125000,6500000000
biodiesel,california,business_as_usual,increase_maritime,2025,2964,2964,0,171353,3500000,320000,0,125000,6500000000
biodiesel,north_east,50%_reduction_2050,business_as_usual,2025,2952,2952,0,157171,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,50%_reduction_2050,business_as_usual,2025,3248,3248,0,165271,3500000,320000,0,125000,6500000000
biodiesel,south_east,50%_reduction_2050,business_as_usual,2025,3234,3234,0,195409,3500000,320000,0,125000,6500000000
biodiesel,north_central,50%_reduction_2050,business_as_usual,2025,3072,3072,0,190427,3500000,320000,0,125000,6500000000
biodiesel,central,50%_reduction_2050,business_as_usual,2025,2587,2587,0,186283,3500000,320000,0,125000,6500000000
biodiesel,texas,50%_reduction_2050,business_as_usual,2025,2696,2696,0,152878,3500000,320000,0,125000,6500000000
biodiesel,north_west,50%_reduction_2050,business_as_usual,2025,3247,3247,0,163525,3500000,320000,0,125000,6500000000
biodiesel,south_west,50%_reduction_2050,business_as_usual,2025,3054,3054,0,167883,3500000,320000,0,125000,6500000000
biodiesel,california,50%_reduction_2050,business_as_usual,2025,2383,2383,0,207351,3500000,320000,0,125000,6500000000
biodiesel,north_east,50%_reduction_2050,agricultual_production_shift,2025,2231,2231,0,208102,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,50%_reduction_2050,agricultual_production_shift,2025,2924,2924,0,206503,3500000,320000,0,125000,6500000000
biodiesel,south_east,50%_reduction_2050,agricultual_production_shift,2025,2415,2415,0,187745,3500000,320000,0,125000,6500000000
biodiesel,north_central,50%_reduction_2050,agricultual_production_shift,2025,3015,3015,0,207657,3500000,320000,0,125000,6500000000
biodiesel,central,50%_reduction_2050,agricultual_production_shift,2025,2926,2926,0,167141,3500000,320000,0,125000,6500000000
biodiesel,texas,50%_reduction_2050,agricultual_production_shift,2025,3006,3006,0,190315,3500000,320000,0,125000,6500000000
biodiesel,north_west,50%_reduction_2050,agricultual_production_shift,2025,3120,3120,0,194349,3500000,320000,0,125000,6500000000
biodiesel,south_west,50%_reduction_2050,agricultual_production_shift,2025,2582,2582,0,151059,3500000,320000,0,125000,6500000000
biodiesel,california,50%_reduction_2050,agricultual_production_shift,2025,3215,3215,0,179352,3500000,320000,0,125000,6500000000
biodiesel,north_east,50%_reduction_2050,decrease_agricultual_production,2025,3089,3089,0,217398,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,50%_reduction_2050,decrease_agricultual_production,2025,2825,2825,0,156679,3500000,320000,0,125000,6500000000
biodiesel,south_east,50%_reduction_2050,decrease_agricultual_production,2025,3179,3179,0,182351,3500000,320000,0,125000,6500000000
biodiesel,north_central,50%_reduction_2050,decrease_agricultual_production,2025,2908,2908,0,215382,3500000,320000,0,125000,6500000000
biodiesel,central,50%_reduction_2050,decrease_agricultual_production,2025,2402,2402,0,160865,3500000,320000,0,125000,6500000000
biodiesel,texas,50%_reduction_2050,decrease_agricultual_production,2025,3179,3179,0,159762,3500000,320000,0,125000,6500000000
biodiesel,north_west,50%_reduction_2050,decrease_agricultual_production,2025,2408,2408,0,173182,3500000,320000,0,125000,6500000000
biodiesel,south_west,50%_reduction_2050,decrease_agricultual_production,2025,2395,2395,0,200693,3500000,320000,0,125000,6500000000
biodiesel,california,50%_reduction_2050,decrease_agricultual_production,2025,2574,2574,0,162300,3500000,320000,0,125000,6500000000
biodiesel,north_east,50%_reduction_2050,population_shift,2025,2884,2884,0,158833,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,50%_reduction_2050,population_shift,2025,2617,2617,0,173914,3500000,320000,0,125000,6500000000
biodiesel,south_east,50%_reduction_2050,population_shift,2025,2275,2275,0,179528,3500000,320000,0,125000,6500000000
biodiesel,north_central,50%_reduction_2050,population_shift,2025,3278,3278,0,184174,3500000,320000,0,125000,6500000000
biodiesel,central,50%_reduction_2050,population_shift,2025,2470,2470,0,157609,3500000,320000,0,125000,6500000000
biodiesel,texas,50%_reduction_2050,population_shift,2025,3143,3143,0,206471,3500000,320000,0,125000,6500000000
biodiesel,north_west,50%_reduction_2050,population_shift,2025,2219,2219,0,189899,3500000,320000,0,125000,6500000000
biodiesel,south_west,50%_reduction_2050,population_shift,2025,2763,2763,0,204091,3500000,320000,0,125000,6500000000
biodiesel,california,50%_reduction_2050,population_shift,2025,2366,2366,0,194741,3500000,320000,0,125000,6500000000
biodiesel,north_east,50%_reduction_2050,increase_maritime,2025,2832,2832,0,148969,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,50%_reduction_2050,increase_maritime,2025,2378,2378,0,170810,3500000,320000,0,125000,6500000000
biodiesel,south_east,50%_reduction_2050,increase_maritime,2025,2407,2407,0,151112,3500000,320000,0,125000,6500000000
biodiesel,north_central,50%_reduction_2050,increase_maritime,2025,3249,3249,0,218684,3500000,320000,0,125000,6500000000
biodiesel,central,50%_reduction_2050,increase_maritime,2025,3075,3075,0,182121,3500000,320000,0,125000,6500000000
biodiesel,texas,50%_reduction_2050,increase_maritime,2025,2625,2625,0,189138,3500000,320000,0,125000,6500000000
biodiesel,north_west,50%_reduction_2050,increase_maritime,2025,2575,2575,0,172307,3500000,320000,0,125000,6500000000
biodiesel,south_west,50%_reduction_2050,increase_maritime,2025,2819,2819,0,188665,3500000,320000,0,125000,6500000000
biodiesel,california,50%_reduction_2050,increase_maritime,2025,2823,2823,0,222117,3500000,320000,0,125000,6500000000
biodiesel,north_east,net_zero_2050,business_as_usual,2025,3199,3199,0,223154,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,net_zero_2050,business_as_usual,2025,3077,3077,0,198008,3500000,320000,0,125000,6500000000
biodiesel,south_east,net_zero_2050,business_as_usual,2025,2241,2241,0,208456,3500000,320000,0,125000,6500000000
biodiesel,north_central,net_zero_2050,business_as_usual,2025,2872,2872,0,190036,3500000,320000,0,125000,6500000000
biodiesel,central,net_zero_2050,business_as_usual,2025,3074,3074,0,153254,3500000,320000,0,125000,6500000000
biodiesel,texas,net_zero_2050,business_as_usual,2025,2562,2562,0,201912,3500000,320000,0,125000,6500000000
biodiesel,north_west,net_zero_2050,business_as_usual,2025,3075,3075,0,211848,3500000,320000,0,125000,6500000000
biodiesel,south_west,net_zero_2050,business_as_usual,2025,3042,3042,0,192104,3500000,320000,0,125000,6500000000
biodiesel,california,net_zero_2050,business_as_usual,2025,2327,2327,0,159981,3500000,320000,0,125000,6500000000
biodiesel,north_east,net_zero_2050,agricultual_production_shift,2025,2338,2338,0,168970,3500000,320000,0,125000,6500000000
biodiesel,middle_atlantic,net_zero_2050,agricultual_production_shift,2025,2789,2789,0,207125,3500000,320000,0,125000,6500000000
biodiesel,south_east,net_zero_2050,agricultual_production_shift,2025,2218,2218,0,222362,3500000,320000,0,125000,6500000000
biodiesel,north_central,net_zero_2050,agricultual_production_shift,2025,2458,2458,0,190506,3500000,320000,0,125000,6500000000
biodiesel,central,net_zero_2050,agricultual_production_shift,2025,2967,2967,0,156972,3500000,320000,0,125000,6500000000
biodiesel,texas,net_zero_2050,agricultual_production_shift,2025,3228,3228,0,202156,3500000,320000,0,125000,6500000000
biodiesel,north_west,net_zero_2050,agricultual_production_shift,2025,2378,2378,0,153179,3500000,320000,0,125000,6500000000
biodiesel,south_west,net_zero_2050,agricultual_production_shift,2025,3087,3087,0,176735,3500000,320000,0,125000,6500000000
biodiesel,california,net_zero_2050,agricultual_production_shift,2025,2402,2402,0,154275,3500000,320000,0,125000,6500000000
biodiesel,north_east,net_zero_2050,decrease_agricultual_production,2025,3117,3117,0,190750,3500000,320000,0,125000,6500000000
