technology,region,energy_system_scenario,freight_demand_scenario,year,number_of_charging_stations,cost_per_station ($),track_mile (mi),rail_track_cost ($/mi),infrastructure_O&M_cost ($/year)
diesel,north_central,50%_reduction_2050,agricultual_production_shift,2025,53,460833.7237,17079,1500000,455000000
diesel,central,50%_reduction_2050,agricultual_production_shift,2025,45,460833.7237,17738,1500000,455000000
diesel,texas,50%_reduction_2050,agricultual_production_shift,2025,51,460833.7237,14902,1500000,455000000
diesel,north_west,50%_reduction_2050,agricultual_production_shift,2025,49,460833.7237,17744,1500000,455000000
diesel,south_west,50%_reduction_2050,agricultual_production_shift,2025,43,460833.7237,13559,1500000,455000000
diesel,california,50%_reduction_2050,agricultual_production_shift,2025,48,460833.7237,16308,1500000,455000000
diesel,north_east,50%_reduction_2050,decrease_agricultual_production,2025,54,460833.7237,13093,1500000,455000000
diesel,middle_atlantic,50%_reduction_2050,decrease_agricultual_production,2025,45,460833.7237,13734,1500000,455000000
diesel,south_east,50%_reduction_2050,decrease_agricultual_production,2025,44,460833.7237,17608,1500000,455000000
diesel,north_central,50%_reduction_2050,decrease_agricultual_production,2025,42,460833.7237,13073,1500000,455000000
diesel,central,50%_reduction_2050,decrease_agricultual_production,2025,52,460833.7237,16330,1500000,455000000
diesel,texas,50%_reduction_2050,decrease_agricultual_production,2025,48,460833.7237,15867,1500000,455000000
diesel,north_west,50%_reduction_2050,decrease_agricultual_production,2025,55,460833.7237,15755,1500000,455000000
diesel,south_west,50%_reduction_2050,decrease_agricultual_production,2025,39,460833.7237,18486,1500000,455000000
diesel,california,50%_reduction_2050,decrease_agricultual_production,2025,56,460833.7237,16372,1500000,455000000
diesel,north_east,50%_reduction_2050,population_shift,2025,54,460833.7237,17720,1500000,455000000
diesel,middle_atlantic,50%_reduction_2050,population_shift,2025,49,460833.7237,17901,1500000,455000000
diesel,south_east,50%_reduction_2050,population_shift,2025,51,460833.7237,17819,1500000,455000000
diesel,north_central,50%_reduction_2050,population_shift,2025,47,460833.7237,17214,1500000,455000000
diesel,central,50%_reduction_2050,population_shift,2025,46,460833.7237,16188,1500000,455000000
diesel,texas,50%_reduction_2050,population_shift,2025,50,460833.7237,12706,1500000,455000000
diesel,north_west,50%_reduction_2050,population_shift,2025,43,460833.7237,13779,1500000,455000000
diesel,south_west,50%_reduction_2050,population_shift,2025,56,460833.7237,15106,1500000,455000000
diesel,california,50%_reduction_2050,population_shift,2025,43,460833.7237,17977,1500000,455000000
diesel,north_east,50%_reduction_2050,increase_maritime,2025,39,460833.7237,18473,1500000,455000000
diesel,middle_atlantic,50%_reduction_2050,increase_maritime,2025,52,460833.7237,18340,1500000,455000000
diesel,south_east,50%_reduction_2050,increase_maritime,2025,38,460833.7237,12974,1500000,455000000
diesel,north_central,50%_reduction_2050,increase_maritime,2025,46,460833.7237,14227,1500000,455000000
diesel,central,50%_reduction_2050,increase_maritime,2025,53,460833.7237,13391,1500000,455000000
diesel,texas,50%_reduction_2050,increase_maritime,2025,51,460833.7237,15194,1500000,455000000
diesel,north_west,50%_reduction_2050,increase_maritime,2025,49,460833.7237,14270,1500000,455000000
diesel,south_west,50%_reduction_2050,increase_maritime,2025,52,460833.7237,17314,1500000,455000000
diesel,california,50%_reduction_2050,increase_maritime,2025,41,460833.7237,17733,1500000,455000000
diesel,north_east,net_zero_2050,business_as_usual,2025,53,460833.7237,15937,1500000,455000000
diesel,middle_atlantic,net_zero_2050,business_as_usual,2025,39,460833.7237,15937,1500000,455000000
diesel,south_east,net_zero_2050,business_as_usual,2025,43,460833.7237,18228,1500000,455000000
diesel,north_central,net_zero_2050,business_as_usual,2025,48,460833.7237,13473,1500000,455000000
diesel,central,net_zero_2050,business_as_usual,2025,50,460833.7237,13083,1500000,455000000
diesel,texas,net_zero_2050,business_as_usual,2025,48,460833.7237,15772,1500000,455000000
diesel,north_west,net_zero_2050,business_as_usual,2025,51,460833.7237,13960,1500000,455000000
diesel,south_west,net_zero_2050,business_as_usual,2025,52,460833.7237,17736,1500000,455000000
diesel,california,net_zero_2050,business_as_usual,2025,50,460833.7237,17971,1500000,455000000
diesel,north_east,net_zero_2050,agricultual_production_shift,2025,50,460833.7237,15331,1500000,455000000
diesel,middle_atlantic,net_zero_2050,agricultual_production_shift,2025,48,460833.7237,14161,1500000,455000000
diesel,south_east,net_zero_2050,agricultual_production_shift,2025,51,460833.7237,13334,1500000,455000000
diesel,north_central,net_zero_2050,agricultual_production_shift,2025,41,460833.7237,14311,1500000,455000000
diesel,central,net_zero_2050,agricultual_production_shift,2025,56,460833.7237,17047,1500000,455000000
diesel,texas,net_zero_2050,agricultual_production_shift,2025,51,460833.7237,17329,1500000,455000000
diesel,north_west,net_zero_2050,agricultual_production_shift,2025,46,460833.7237,13823,1500000,455000000
diesel,south_west,net_zero_2050,agricultual_production_shift,2025,50,460833.7237,15800,1500000,455000000
diesel,california,net_zero_2050,agricultual_production_shift,2025,46,460833.7237,16169,1500000,455000000
diesel,north_east,net_zero_2050,decrease_agricultual_production,2025,47,460833.7237,17000,1500000,455000000
diesel,middle_atlantic,net_zero_2050,decrease_agricultual_production,2025,49,460833.7237,14331,1500000,455000000
diesel,south_east,net_zero_2050,decrease_agricultual_production,2025,45,460833.7237,14537,1500000,455000000
diesel,north_central,net_zero_2050,decrease_agricultual_production,2025,42,460833.7237,16508,1500000,455000000
diesel,central,net_zero_2050,decrease_agricultual_production,2025,46,460833.7237,13185,1500000,455000000
diesel,texas,net_zero_2050,decrease_agricultual_production,2025,40,460833.7237,17712,1500000,455000000
diesel,north_west,net_zero_2050,decrease_agricultual_production,2025,41,460833.7237,15929,1500000,455000000
diesel,south_west,net_zero_2050,decrease_agricultual_production,2025,48,460833.7237,18626,1500000,455000000
diesel,california,net_zero_2050,decrease_agricultual_production,2025,48,460833.7237,13910,1500000,455000000
diesel,north_east,net_zero_2050,population_shift,2025,50,460833.7237,16311,1500000,455000000
diesel,middle_atlantic,net_zero_2050,population_shift,2025,48,460833.7237,14272,1500000,455000000
diesel,south_east,net_zero_2050,population_shift,2025,53,460833.7237,16189,1500000,455000000
diesel,north_central,net_zero_2050,population_shift,2025,55,460833.7237,13489,1500000,455000000
diesel,central,net_zero_2050,population_shift,2025,56,460833.7237,13829,1500000,455000000
diesel,texas,net_zero_2050,population_shift,2025,50,460833.7237,12911,1500000,455000000
diesel,north_west,net_zero_2050,population_shift,2025,43,460833.7237,16055,1500000,455000000
diesel,south_west,net_zero_2050,population_shift,2025,44,460833.7237,16795,1500000,455000000
diesel,california,net_zero_2050,population_shift,2025,49,460833.7237,16641,1500000,455000000
diesel,north_east,net_zero_2050,increase_maritime,2025,56,460833.7237,18185,1500000,455000000
diesel,middle_atlantic,net_zero_2050,increase_maritime,2025,53,460833.7237,13226,1500000,455000000
diesel,south_east,net_zero_2050,increase_maritime,2025,49,460833.7237,12980,1500000,455000000
diesel,north_central,net_zero_2050,increase_maritime,2025,56,460833.7237,17511,1500000,455000000
diesel,central,net_zero_2050,increase_maritime,2025,51,460833.7237,17205,1500000,455000000
diesel,texas,net_zero_2050,increase_maritime,2025,49,460833.7237,17318,1500000,455000000
diesel,north_west,net_zero_2050,increase_maritime,2025,39,460833.7237,13228,1500000,455000000
diesel,south_west,net_zero_2050,increase_maritime,2025,40,460833.7237,17378,1500000,455000000
diesel,california,net_zero_2050,increase_maritime,2025,53,460833.7237,16747,1500000,455000000
biodiesel,north_east,business_as_usual,business_as_usual,2025,49,460833.7237,12794,1500000,455000000
biodiesel,middle_atlantic,business_as_usual,business_as_usual,2025,41,460833.7237,14305,1500000,455000000
biodiesel,south_east,business_as_usual,business_as_usual,2025,43,460833.7237,13168,1500000,455000000
biodiesel,north_central,business_as_usual,business_as_usual,2025,45,460833.7237,17298,1500000,455000000
biodiesel,central,business_as_usual,business_as_usual,2025,50,460833.7237,12939,1500000,455000000
biodiesel,texas,business_as_usual,business_as_usual,2025,45,460833.7237,12977,1500000,455000000
biodiesel,north_west,business_as_usual,business_as_usual,2025,40,460833.7237,17258,1500000,455000000
biodiesel,south_west,business_as_usual,business_as_usual,2025,46,460833.7237,18407,1500000,455000000
biodiesel,california,business_as_usual,business_as_usual,2025,47,460833.7237,17116,1500000,455000000
biodiesel,north_east,business_as_usual,agricultual_production_shift,2025,50,460833.7237,13358,1500000,455000000
biodiesel,middle_atlantic,business_as_usual,agricultual_production_shift,2025,49,460833.7237,15162,1500000,455000000
biodiesel,south_east,business_as_usual,agricultual_production_shift,2025,45,460833.7237,16619,1500000,455000000
biodiesel,north_central,business_as_usual,agricultual_production_shift,2025,47,460833.7237,17374,1500000,455000000
biodiesel,central,business_as_usual,agricultual_production_shift,2025,40,460833.7237,18139,1500000,455000000
biodiesel,texas,business_as_usual,agricultual_production_shift,2025,38,460833.7237,16089,1500000,455000000
biodiesel,north_west,business_as_usual,agricultual_production_shift,2025,51,460833.7237,14161,1500000,455000000
biodiesel,south_west,business_as_usual,agricultual_production_shift,2025,53,460833.7237,13748,1500000,455000000
biodiesel,california,business_as_usual,agricultual_production_shift,2025,48,460833.7237,16703,1500000,455000000
biodiesel,north_east,business_as_usual,decrease_agricultual_production,2025,52,460833.7237,13300,1500000,455000000
biodiesel,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,54,460833.7237,13071,1500000,455000000
biodiesel,south_east,business_as_usual,decrease_agricultual_production,2025,41,460833.7237,13074,1500000,455000000
biodiesel,north_central,business_as_usual,decrease_agricultual_production,2025,56,460833.7237,13089,1500000,455000000
biodiesel,central,business_as_usual,decrease_agricultual_production,2025,39,460833.7237,15894,1500000,455000000
biodiesel,texas,business_as_usual,decrease_agricultual_production,2025,53,460833.7237,16691,1500000,455000000
biodiesel,north_west,business_as_usual,decrease_agricultual_production,2025,40,460833.7237,18328,1500000,455000000
biodiesel,south_west,business_as_usual,decrease_agricultual_production,2025,39,460833.7237,13611,1500000,455000000
biodiesel,california,business_as_usual,decrease_agricultual_production,2025,51,460833.7237,15567,1500000,455000000
biodiesel,north_east,business_as_usual,population_shift,2025,54,460833.7237,12974,1500000,455000000
biodiesel,middle_atlantic,business_as_usual,population_shift,2025,53,460833.7237,18059,1500000,455000000
biodiesel,south_east,business_as_usual,population_shift,2025,50,460833.7237,15618,1500000,455000000
biodiesel,north_central,business_as_usual,population_shift,2025,50,460833.7237,15044,1500000,455000000
biodiesel,central,business_as_usual,population_shift,2025,42,460833.7237,13033,1500000,455000000
biodiesel,texas,business_as_usual,population_shift,2025,41,460833.7237,15188,1500000,455000000
biodiesel,north_west,business_as_usual,population_shift,2025,42,460833.7237,17460,1500000,455000000
biodiesel,south_west,business_as_usual,population_shift,2025,56,460833.7237,13206,1500000,455000000
biodiesel,california,business_as_usual,population_shift,2025,56,460833.7237,14896,1500000,455000000
biodiesel,north_east,business_as_usual,increase_maritime,2025,43,460833.7237,13382,1500000,455000000
biodiesel,middle_atlantic,business_as_usual,increase_maritime,2025,52,460833.7237,13083,1500000,455000000
biodiesel,south_east,business_as_usual,increase_maritime,2025,52,460833.7237,12781,1500000,455000000
biodiesel,north_central,business_as_usual,increase_maritime,2025,55,460833.7237,18173,1500000,455000000
biodiesel,central,business_as_usual,increase_maritime,2025,51,460833.7237,15399,1500000,455000000
biodiesel,texas,business_as_usual,increase_maritime,2025,54,460833.7237,18608,1500000,455000000
biodiesel,north_west,business_as_usual,increase_maritime,2025,56,460833.7237,15455,1500000,455000000
biodiesel,south_west,business_as_usual,increase_maritime,2025,44,460833.7237,16787,1500000,455000000
biodiesel,california,business_as_usual,increase_maritime,2025,47,460833.7237,12582,1500000,455000000
biodiesel,north_east,50%_reduction_2050,business_as_usual,2025,49,460833.7237,18390,1500000,455000000
biodiesel,middle_atlantic,50%_reduction_2050,business_as_usual,2025,44,460833.7237,18171,1500000,455000000
biodiesel,south_east,50%_reduction_2050,business_as_usual,2025,38,460833.7237,18099,1500000,455000000
biodiesel,north_central,50%_reduction_2050,business_as_usual,2025,56,460833.7237,13151,1500000,455000000
biodiesel,central,50%_reduction_2050,business_as_usual,2025,40,460833.7237,16349,1500000,455000000
biodiesel,texas,50%_reduction_2050,business_as_usual,2025,55,460833.7237,16576,1500000,455000000
biodiesel,north_west,50%_reduction_2050,business_as_usual,2025,38,460833.7237,16208,1500000,455000000
biodiesel,south_west,50%_reduction_2050,business_as_usual,2025,40,460833.7237,17048,1500000,455000000
biodiesel,california,50%_reduction_2050,business_as_usual,2025,53,460833.7237,16128,1500000,455000000
biodiesel,north_east,50%_reduction_2050,agricultual_production_shift,2025,51,460833.7237,13530,1500000,455000000
biodiesel,middle_atlantic,50%_reduction_2050,agricultual_production_shift,2025,55,460833.7237,13280,1500000,455000000
biodiesel,south_east,50%_reduction_2050,agricultual_production_shift,2025,44,460833.7237,17436,1500000,455000000
biodiesel,north_central,50%_reduction_2050,agricultual_production_shift,2025,54,460833.7237,15087,1500000,455000000
biodiesel,central,50%_reduction_2050,agricultual_production_shift,2025,54,460833.7237,14326,1500000,455000000
biodiesel,texas,50%_reduction_2050,agricultual_production_shift,2025,49,460833.7237,14065,1500000,455000000
biodiesel,north_west,50%_reduction_2050,agricultual_production_shift,2025,52,460833.7237,17280,1500000,455000000
biodiesel,south_west,50%_reduction_2050,agricultual_production_shift,2025,55,460833.7237,18506,1500000,455000000
biodiesel,california,50%_reduction_2050,agricultual_production_shift,2025,45,460833.7237,18187,1500000,455000000
biodiesel,north_east,50%_reduction_2050,decrease_agricultual_production,2025,46,460833.7237,13289,1500000,455000000
biodiesel,middle_atlantic,50%_reduction_2050,decrease_agricultual_production,2025,48,460833.7237,15802,1500000,455000000
biodiesel,south_east,50%_reduction_2050,decrease_agricultual_production,2025,38,460833.7237,14407,1500000,455000000
biodiesel,north_central,50%_reduction_2050,decrease_agricultual_production,2025,42,460833.7237,12576,1500000,455000000
biodiesel,central,50%_reduction_2050,decrease_agricultual_production,2025,49,460833.7237,16438,1500000,455000000
biodiesel,texas,50%_reduction_2050,decrease_agricultual_production,2025,39,460833.7237,18024,1500000,455000000
biodiesel,north_west,50%_reduction_2050,decrease_agricultual_production,2025,39,460833.7237,16587,1500000,455000000
biodiesel,south_west,50%_reduction_2050,decrease_agricultual_production,2025,43,460833.7237,15622,1500000,455000000
biodiesel,california,50%_reduction_2050,decrease_agricultual_production,2025,52,460833.7237,18278,1500000,455000000
biodiesel,north_east,50%_reduction_2050,population_shift,2025,38,460833.7237,17002,1500000,455000000
biodiesel,middle_atlantic,50%_reduction_2050,population_shift,2025,40,460833.7237,13612,1500000,455000000
biodiesel,south_east,50%_reduction_2050,population_shift,2025,47,460833.7237,18005,1500000,455000000
biodiesel,north_central,50%_reduction_2050,population_shift,2025,40,460833.7237,16819,1500000,455000000
biodiesel,central,50%_reduction_2050,population_shift,2025,52,460833.7237,15432,1500000,455000000
biodiesel,texas,50%_reduction_2050,population_shift,2025,41,460833.7237,18304,1500000,455000000
biodiesel,north_west,50%_reduction_2050,population_shift,2025,47,460833.7237,18566,1500000,455000000
biodiesel,south_west,50%_reduction_2050,population_shift,2025,38,460833.7237,14744,1500000,455000000
biodiesel,california,50%_reduction_2050,population_shift,2025,56,460833.7237,14428,1500000,455000000
biodiesel,north_east,50%_reduction_2050,increase_maritime,2025,41,460833.7237,17172,1500000,455000000
biodiesel,middle_atlantic,50%_reduction_2050,increase_maritime,2025,42,460833.7237,13996,1500000,455000000
biodiesel,south_east,50%_reduction_2050,increase_maritime,2025,40,460833.7237,15224,1500000,455000000
biodiesel,north_central,50%_reduction_2050,increase_maritime,2025,53,460833.7237,16841,1500000,455000000
biodiesel,central,50%_reduction_2050,increase_maritime,2025,38,460833.7237,16413,1500000,455000000
biodiesel,texas,50%_reduction_2050,increase_maritime,2025,40,460833.7237,15580,1500000,455000000
biodiesel,north_west,50%_reduction_2050,increase_maritime,2025,39,460833.7237,13517,1500000,455000000
biodiesel,south_west,50%_reduction_2050,increase_maritime,2025,46,460833.7237,14621,1500000,455000000
biodiesel,california,50%_reduction_2050,increase_maritime,2025,40,460833.7237,12560,1500000,455000000
biodiesel,north_east,net_zero_2050,business_as_usual,2025,41,460833.7237,14464,1500000,455000000
biodiesel,middle_atlantic,net_zero_2050,business_as_usual,2025,52,460833.7237,16994,1500000,455000000
biodiesel,south_east,net_zero_2050,business_as_usual,2025,55,460833.7237,15046,1500000,455000000
biodiesel,north_central,net_zero_2050,business_as_usual,2025,47,460833.7237,12898,1500000,455000000
biodiesel,central,net_zero_2050,business_as_usual,2025,49,460833.7237,12953,1500000,455000000
biodiesel,texas,net_zero_2050,business_as_usual,2025,39,460833.7237,18161,1500000,455000000
biodiesel,north_west,net_zero_2050,business_as_usual,2025,40,460833.7237,13657,1500000,455000000
biodiesel,south_west,net_zero_2050,business_as_usual,2025,39,460833.7237,14224,1500000,455000000
biodiesel,california,net_zero_2050,business_as_usual,2025,39,460833.7237,12603,1500000,455000000
biodiesel,north_east,net_zero_2050,agricultual_production_shift,2025,55,460833.7237,16664,1500000,455000000
biodiesel,middle_atlantic,net_zero_2050,agricultual_production_shift,2025,48,460833.7237,13975,1500000,455000000
biodiesel,south_east,net_zero_2050,agricultual_production_shift,2025,42,460833.7237,15054,1500000,455000000
biodiesel,north_central,net_zero_2050,agricultual_production_shift,2025,49,460833.7237,13121,1500000,455000000
biodiesel,central,net_zero_2050,agricultual_production_shift,2025,46,460833.7237,14005,1500000,455000000
biodiesel,texas,net_zero_2050,agricultual_production_shift,2025,48,460833.7237,14640,1500000,455000000
biodiesel,north_west,net_zero_2050,agricultual_production_shift,2025,44,460833.7237,14133,1500000,455000000
biodiesel,south_west,net_zero_2050,agricultual_production_shift,2025,51,460833.7237,15410,1500000,455000000
biodiesel,california,net_zero_2050,agricultual_production_shift,2025,47,460833.7237,14011,1500000,455000000
biodiesel,north_east,net_zero_2050,decrease_agricultual_production,2025,53,460833.7237,14299,1500000,455000000
biodiesel,middle_atlantic,net_zero_2050,decrease_agricultual_production,2025,50,460833.7237,14529,1500000,455000000
biodiesel,south_east,net_zero_2050,decrease_agricultual_production,2025,48,460833.7237,15342,1500000,455000000
biodiesel,north_central,net_zero_2050,decrease_agricultual_production,2025,51,460833.7237,14147,1500000,455000000
biodiesel,central,net_zero_2050,decrease_agricultual_production,2025,46,460833.7237,17063,1500000,455000000
biodiesel,texas,net_zero_2050,decrease_agricultual_production,2025,55,460833.7237,17438,1500000,455000000
biodiesel,north_west,net_zero_2050,decrease_agricultual_production,2025,40,460833.7237,18242,1500000,455000000
biodiesel,south_west,net_zero_2050,decrease_agricultual_production,2025,41,460833.7237,14289,1500000,455000000
biodiesel,california,net_zero_2050,decrease_agricultual_production,2025,41,460833.7237,15933,1500000,455000000
biodiesel,north_east,net_zero_2050,population_shift,2025,49,460833.7237,18603,1500000,455000000
biodiesel,middle_atlantic,net_zero_2050,population_shift,2025,53,460833.7237,15355,1500000,455000000
biodiesel,south_east,net_zero_2050,population_shift,2025,53,460833.7237,15443,1500000,455000000
biodiesel,north_central,net_zero_2050,population_shift,2025,51,460833.7237,15441,1500000,455000000
biodiesel,central,net_zero_2050,population_shift,2025,49,460833.7237,12495,1500000,455000000
biodiesel,texas,net_zero_2050,population_shift,2025,47,460833.7237,12842,1500000,455000000
biodiesel,north_west,net_zero_2050,population_shift,2025,44,460833.7237,15726,1500000,455000000
biodiesel,south_west,net_zero_2050,population_shift,2025,38,460833.7237,13369,1500000,455000000
biodiesel,california,net_zero_2050,population_shift,2025,39,460833.7237,16388,1500000,455000000
biodiesel,north_east,net_zero_2050,increase_maritime,2025,52,460833.7237,13285,1500000,455000000
biodiesel,middle_atlantic,net_zero_2050,increase_maritime,2025,49,460833.7237,17533,1500000,455000000
biodiesel,south_east,net_zero_2050,increase_maritime,2025,41,460833.7237,17537,1500000,455000000
biodiesel,north_central,net_zero_2050,increase_maritime,2025,44,460833.7237,13086,1500000,455000000
biodiesel,central,net_zero_2050,increase_maritime,2025,46,460833.7237,15897,1500000,455000000
biodiesel,texas,net_zero_2050,increase_maritime,2025,43,460833.7237,18622,1500000,455000000
biodiesel,north_west,net_zero_2050,increase_maritime,2025,47,460833.7237,15820,1500000,455000000
biodiesel,south_west,net_zero_2050,increase_maritime,2025,48,460833.7237,17874,1500000,455000000
biodiesel,california,net_zero_2050,increase_maritime,2025,47,460833.7237,12518,1500000,455000000
hydrogen,north_east,business_as_usual,business_as_usual,2025,38,460833.7237,17556,1500000,455000000
hydrogen,middle_atlantic,business_as_usual,business_as_usual,2025,48,460833.7237,14591,1500000,455000000
hydrogen,south_east,business_as_usual,business_as_usual,2025,46,460833.7237,15539,1500000,455000000
hydrogen,north_central,business_as_usual,business_as_usual,2025,52,460833.7237,17585,1500000,455000000
hydrogen,central,business_as_usual,business_as_usual,2025,50,460833.7237,18461,1500000,455000000
hydrogen,texas,business_as_usual,business_as_usual,2025,44,460833.7237,17706,1500000,455000000
hydrogen,north_west,business_as_usual,business_as_usual,2025,52,460833.7237,13012,1500000,455000000
hydrogen,south_west,business_as_usual,business_as_usual,2025,40,460833.7237,15482,1500000,455000000
hydrogen,california,business_as_usual,business_as_usual,2025,47,460833.7237,17747,1500000,455000000
hydrogen,north_east,business_as_usual,agricultual_production_shift,2025,39,460833.7237,13335,1500000,455000000
hydrogen,middle_atlantic,business_as_usual,agricultual_production_shift,2025,53,460833.7237,14066,1500000,455000000
hydrogen,south_east,business_as_usual,agricultual_production_shift,2025,55,460833.7237,15628,1500000,455000000
hydrogen,north_central,business_as_usual,agricultual_production_shift,2025,38,460833.7237,13924,1500000,455000000
hydrogen,central,business_as_usual,agricultual_production_shift,2025,43,460833.7237,17787,1500000,455000000
hydrogen,texas,business_as_usual,agricultual_production_shift,2025,49,460833.7237,18155,1500000,455000000
hydrogen,north_west,business_as_usual,agricultual_production_shift,2025,43,460833.7237,13310,1500000,455000000
hydrogen,south_west,business_as_usual,agricultual_production_shift,2025,44,460833.7237,17436,1500000,455000000
hydrogen,california,business_as_usual,agricultual_production_shift,2025,46,460833.7237,12600,1500000,455000000
hydrogen,north_east,business_as_usual,decrease_agricultual_production,2025,56,460833.7237,17728,1500000,455000000
hydrogen,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,52,460833.7237,12919,1500000,455000000
hydrogen,south_east,business_as_usual,decrease_agricultual_production,2025,43,460833.7237,16216,1500000,455000000
hydrogen,north_central,business_as_usual,decrease_agricultual_production,2025,55,460833.7237,13628,1500000,455000000
