technology,region,energy_system_scenario,freight_demand_scenario,year,energy_consumption,energy_unit,upstream_CO2_emission_factor,downstream_CO2_emission_factor,CO2_emission_factor_unit,upstream_CH4_emission_factor,downstream_CH4_emission_factor,CH4_emission_factor_unit
diesel,texas,business_as_usual,population_shift,2025,351004671,gallon,1.604,10.5286,kgCO2/gallon,0.01267026,0.000851682,kgCH4/gallon
diesel,north_west,business_as_usual,population_shift,2025,377829657,gallon,1.344,8.5105,kgCO2/gallon,0.0164424,0.000793481,kgCH4/gallon
diesel,south_west,business_as_usual,population_shift,2025,352248171,gallon,1.512,10.2766,kgCO2/gallon,0.01264835,0.000802695,kgCH4/gallon
diesel,california,business_as_usual,population_shift,2025,335577880,gallon,1.325,9.072,kgCO2/gallon,0.01535509,0.001036642,kgCH4/gallon
diesel,north_east,business_as_usual,increase_maritime,2025,438841699,gallon,1.761,8.6524,kgCO2/gallon,0.01368574,0.000949032,kgCH4/gallon
diesel,middle_atlantic,business_as_usual,increase_maritime,2025,332680448,gallon,1.407,11.5987,kgCO2/gallon,0.01266594,0.000720283,kgCH4/gallon
diesel,south_east,business_as_usual,increase_maritime,2025,433711597,gallon,1.445,11.0323,kgCO2/gallon,0.01296633,0.001040899,kgCH4/gallon
diesel,north_central,business_as_usual,increase_maritime,2025,406265268,gallon,1.37,9.2653,kgCO2/gallon,0.01373659,0.000745125,kgCH4/gallon
diesel,central,business_as_usual,increase_maritime,2025,408385989,gallon,1.692,10.0247,kgCO2/gallon,0.01682617,0.000917829,kgCH4/gallon
diesel,texas,business_as_usual,increase_maritime,2025,335915593,gallon,1.329,9.2127,kgCO2/gallon,0.01597842,0.000749235,kgCH4/gallon
diesel,north_west,business_as_usual,increase_maritime,2025,426472415,gallon,1.822,11.6909,kgCO2/gallon,0.01177669,0.000743828,kgCH4/gallon
diesel,south_west,business_as_usual,increase_maritime,2025,359092979,gallon,1.446,10.2233,kgCO2/gallon,0.0115567,0.000746248,kgCH4/gallon
diesel,california,business_as_usual,increase_maritime,2025,354084653,gallon,1.851,9.4423,kgCO2/gallon,0.01300969,0.000755226,kgCH4/gallon
diesel,north_east,50%_reduction_2050,business_as_usual,2025,363023629,gallon,1.69,8.6094,kgCO2/gallon,0.01545347,0.000744771,kgCH4/gallon
diesel,middle_atlantic,50%_reduction_2050,business_as_usual,2025,440131703,gallon,1.925,8.2225,kgCO2/gallon,0.01647113,0.000904265,kgCH4/gallon
diesel,south_east,50%_reduction_2050,business_as_usual,2025,441826939,gallon,1.527,11.744,kgCO2/gallon,0.0136908,0.00086822,kgCH4/gallon
diesel,north_central,50%_reduction_2050,business_as_usual,2025,369730478,gallon,1.54,8.4855,kgCO2/gallon,0.01630357,0.000861422,kgCH4/gallon
diesel,central,50%_reduction_2050,business_as_usual,2025,445793807,gallon,1.935,11.3334,kgCO2/gallon,0.01610468,0.000773345,kgCH4/gallon
diesel,texas,50%_reduction_2050,business_as_usual,2025,387274857,gallon,1.437,11.2172,kgCO2/gallon,0.014326,0.000948208,kgCH4/gallon
diesel,north_west,50%_reduction_2050,business_as_usual,2025,374836645,gallon,1.717,8.9216,kgCO2/gallon,0.01243968,0.000727634,kgCH4/gallon
diesel,south_west,50%_reduction_2050,business_as_usual,2025,410074307,gallon,1.726,10.2891,kgCO2/gallon,0.01415706,0.000857837,kgCH4/gallon
diesel,california,50%_reduction_2050,business_as_usual,2025,434438720,gallon,1.395,11.0437,kgCO2/gallon,0.01445824,0.001034269,kgCH4/gallon
diesel,north_east,50%_reduction_2050,agricultual_production_shift,2025,443923912,gallon,1.862,8.3463,kgCO2/gallon,0.01280013,0.000823911,kgCH4/gallon
diesel,middle_atlantic,50%_reduction_2050,agricultual_production_shift,2025,437980761,gallon,1.348,11.3851,kgCO2/gallon,0.01552636,0.00073441,kgCH4/gallon
diesel,south_east,50%_reduction_2050,agricultual_production_shift,2025,403056214,gallon,1.793,10.2715,kgCO2/gallon,0.01304287,0.001034212,kgCH4/gallon
diesel,north_central,50%_reduction_2050,agricultual_production_shift,2025,415339575,gallon,1.67,10.113,kgCO2/gallon,0.01548533,0.000904621,kgCH4/gallon
diesel,central,50%_reduction_2050,agricultual_production_shift,2025,383820667,gallon,1.648,9.5917,kgCO2/gallon,0.01510564,0.000977182,kgCH4/gallon
diesel,texas,50%_reduction_2050,agricultual_production_shift,2025,409488841,gallon,1.744,10.4202,kgCO2/gallon,0.01595634,0.000930465,kgCH4/gallon
diesel,north_west,50%_reduction_2050,agricultual_production_shift,2025,382642884,gallon,1.75,11.0168,kgCO2/gallon,0.01450417,0.000899921,kgCH4/gallon
diesel,south_west,50%_reduction_2050,agricultual_production_shift,2025,332720999,gallon,1.434,10.7953,kgCO2/gallon,0.01580099,0.000908303,kgCH4/gallon
diesel,california,50%_reduction_2050,agricultual_production_shift,2025,342963247,gallon,1.314,10.4571,kgCO2/gallon,0.01310114,0.000812368,kgCH4/gallon
diesel,north_east,50%_reduction_2050,decrease_agricultual_production,2025,424100933,gallon,1.45,9.6029,kgCO2/gallon,0.01571253,0.000901733,kgCH4/gallon
diesel,middle_atlantic,50%_reduction_2050,decrease_agricultual_production,2025,317281087,gallon,1.67,8.4693,kgCO2/gallon,0.01616862,0.001013058,kgCH4/gallon
diesel,south_east,50%_reduction_2050,decrease_agricultual_production,2025,447166611,gallon,1.761,9.1942,kgCO2/gallon,0.01578273,0.000745508,kgCH4/gallon
diesel,north_central,50%_reduction_2050,decrease_agricultual_production,2025,373052573,gallon,1.343,11.1577,kgCO2/gallon,0.01643231,0.001037593,kgCH4/gallon
diesel,central,50%_reduction_2050,decrease_agricultual_production,2025,390091688,gallon,1.545,9.7963,kgCO2/gallon,0.01530502,0.000989975,kgCH4/gallon
diesel,texas,50%_reduction_2050,decrease_agricultual_production,2025,316208089,gallon,1.394,10.9108,kgCO2/gallon,0.01488531,0.000979262,kgCH4/gallon
diesel,north_west,50%_reduction_2050,decrease_agricultual_production,2025,431263613,gallon,1.399,11.5085,kgCO2/gallon,0.01244292,0.000858151,kgCH4/gallon
diesel,south_west,50%_reduction_2050,decrease_agricultual_production,2025,397807105,gallon,1.665,12.029,kgCO2/gallon,0.01566076,0.000773308,kgCH4/gallon
diesel,california,50%_reduction_2050,decrease_agricultual_production,2025,446277729,gallon,1.606,11.722,kgCO2/gallon,0.01415191,0.000993703,kgCH4/gallon
diesel,north_east,50%_reduction_2050,population_shift,2025,439370477,gallon,1.79,8.3517,kgCO2/gallon,0.01156252,0.000719064,kgCH4/gallon
diesel,middle_atlantic,50%_reduction_2050,population_shift,2025,327369037,gallon,1.602,8.7258,kgCO2/gallon,0.01192548,0.000845665,kgCH4/gallon
diesel,south_east,50%_reduction_2050,population_shift,2025,368865970,gallon,1.723,10.9283,kgCO2/gallon,0.01207678,0.000845694,kgCH4/gallon
diesel,north_central,50%_reduction_2050,population_shift,2025,327775571,gallon,1.84,8.5682,kgCO2/gallon,0.01373161,0.000759108,kgCH4/gallon
diesel,central,50%_reduction_2050,population_shift,2025,410991826,gallon,1.408,11.7301,kgCO2/gallon,0.01516698,0.000784155,kgCH4/gallon
diesel,texas,50%_reduction_2050,population_shift,2025,444256866,gallon,1.637,9.9788,kgCO2/gallon,0.01561333,0.000976358,kgCH4/gallon
diesel,north_west,50%_reduction_2050,population_shift,2025,418571367,gallon,1.962,8.6516,kgCO2/gallon,0.01436384,0.000797606,kgCH4/gallon
diesel,south_west,50%_reduction_2050,population_shift,2025,411457182,gallon,1.703,9.7175,kgCO2/gallon,0.01300604,0.000804554,kgCH4/gallon
diesel,california,50%_reduction_2050,population_shift,2025,408234528,gallon,1.569,10.8392,kgCO2/gallon,0.01363028,0.001000857,kgCH4/gallon
diesel,north_east,50%_reduction_2050,increase_maritime,2025,339729912,gallon,1.381,12.0459,kgCO2/gallon,0.01200295,0.0009335,kgCH4/gallon
diesel,middle_atlantic,50%_reduction_2050,increase_maritime,2025,358071363,gallon,1.778,11.3275,kgCO2/gallon,0.0142152,0.00089557,kgCH4/gallon
diesel,south_east,50%_reduction_2050,increase_maritime,2025,342958641,gallon,1.79,8.546,kgCO2/gallon,0.01561134,0.000910614,kgCH4/gallon
diesel,north_central,50%_reduction_2050,increase_maritime,2025,344473020,gallon,1.945,11.2101,kgCO2/gallon,0.01589018,0.001037735,kgCH4/gallon
diesel,central,50%_reduction_2050,increase_maritime,2025,366482803,gallon,1.572,11.4087,kgCO2/gallon,0.01132276,0.000933451,kgCH4/gallon
diesel,texas,50%_reduction_2050,increase_maritime,2025,451116072,gallon,1.586,8.6131,kgCO2/gallon,0.01510658,0.000891821,kgCH4/gallon
diesel,north_west,50%_reduction_2050,increase_maritime,2025,437334814,gallon,1.54,8.7189,kgCO2/gallon,0.01575032,0.000730063,kgCH4/gallon
diesel,south_west,50%_reduction_2050,increase_maritime,2025,444575424,gallon,1.359,11.0673,kgCO2/gallon,0.01576152,0.000934447,kgCH4/gallon
diesel,california,50%_reduction_2050,increase_maritime,2025,312879831,gallon,1.625,10.2203,kgCO2/gallon,0.01393327,0.001029075,kgCH4/gallon
diesel,north_east,net_zero_2050,business_as_usual,2025,349037912,gallon,1.549,10.1376,kgCO2/gallon,0.01639789,0.000902183,kgCH4/gallon
diesel,middle_atlantic,net_zero_2050,business_as_usual,2025,371677948,gallon,1.557,10.9764,kgCO2/gallon,0.01426493,0.000921834,kgCH4/gallon
diesel,south_east,net_zero_2050,business_as_usual,2025,444652519,gallon,1.787,8.1377,kgCO2/gallon,0.01203317,0.000967849,kgCH4/gallon
diesel,north_central,net_zero_2050,business_as_usual,2025,369364402,gallon,1.818,9.4327,kgCO2/gallon,0.01281115,0.000795764,kgCH4/gallon
diesel,central,net_zero_2050,business_as_usual,2025,320301567,gallon,1.944,10.0179,kgCO2/gallon,0.01438709,0.00104541,kgCH4/gallon
diesel,texas,net_zero_2050,business_as_usual,2025,427318444,gallon,1.646,9.5782,kgCO2/gallon,0.01559957,0.000978582,kgCH4/gallon
diesel,north_west,net_zero_2050,business_as_usual,2025,381267406,gallon,1.704,9.0333,kgCO2/gallon,0.01554178,0.000798784,kgCH4/gallon
diesel,south_west,net_zero_2050,business_as_usual,2025,368583224,gallon,1.736,8.3287,kgCO2/gallon,0.01460698,0.00077561,kgCH4/gallon
diesel,california,net_zero_2050,business_as_usual,2025,365057180,gallon,1.8,11.3319,kgCO2/gallon,0.01343444,0.000740945,kgCH4/gallon
diesel,north_east,net_zero_2050,agricultual_production_shift,2025,451556381,gallon,1.342,10.9722,kgCO2/gallon,0.01463738,0.000919536,kgCH4/gallon
diesel,middle_atlantic,net_zero_2050,agricultual_production_shift,2025,321925180,gallon,1.614,12.0134,kgCO2/gallon,0.01482211,0.000744727,kgCH4/gallon
diesel,south_east,net_zero_2050,agricultual_production_shift,2025,330809860,gallon,1.591,8.0993,kgCO2/gallon,0.01527695,0.000803713,kgCH4/gallon
diesel,north_central,net_zero_2050,agricultual_production_shift,2025,416244378,gallon,1.809,8.7337,kgCO2/gallon,0.01575777,0.001015028,kgCH4/gallon
diesel,central,net_zero_2050,agricultual_production_shift,2025,358949465,gallon,1.825,11.9144,kgCO2/gallon,0.01168859,0.000986248,kgCH4/gallon
diesel,texas,net_zero_2050,agricultual_production_shift,2025,364508271,gallon,1.768,9.2308,kgCO2/gallon,0.01397021,0.000867894,kgCH4/gallon
diesel,north_west,net_zero_2050,agricultual_production_shift,2025,341210578,gallon,1.885,11.8718,kgCO2/gallon,0.01442477,0.001032258,kgCH4/gallon
diesel,south_west,net_zero_2050,agricultual_production_shift,2025,436694653,gallon,1.522,11.3927,kgCO2/gallon,0.01315719,0.000752732,kgCH4/gallon
diesel,california,net_zero_2050,agricultual_production_shift,2025,346198184,gallon,1.54,11.8073,kgCO2/gallon,0.01182867,0.000872142,kgCH4/gallon
diesel,north_east,net_zero_2050,decrease_agricultual_production,2025,419535009,gallon,1.788,10.4281,kgCO2/gallon,0.01631943,0.00082155,kgCH4/gallon
diesel,middle_atlantic,net_zero_2050,decrease_agricultual_production,2025,375225936,gallon,1.596,8.3612,kgCO2/gallon,0.01310521,0.000779781,kgCH4/gallon
diesel,south_east,net_zero_2050,decrease_agricultual_production,2025,357260397,gallon,1.946,12.0788,kgCO2/gallon,0.01477232,0.000822508,kgCH4/gallon
diesel,north_central,net_zero_2050,decrease_agricultual_production,2025,329369173,gallon,1.31,9.183,kgCO2/gallon,0.01558299,0.000777205,kgCH4/gallon
diesel,central,net_zero_2050,decrease_agricultual_production,2025,335420172,gallon,1.492,9.8305,kgCO2/gallon,0.01400079,0.000810875,kgCH4/gallon
diesel,texas,net_zero_2050,decrease_agricultual_production,2025,374802887,gallon,1.565,8.8544,kgCO2/gallon,0.01528026,0.000861457,kgCH4/gallon
diesel,north_west,net_zero_2050,decrease_agricultual_production,2025,390055220,gallon,1.707,9.323,kgCO2/gallon,0.01319652,0.00105442,kgCH4/gallon
diesel,south_west,net_zero_2050,decrease_agricultual_production,2025,363570607,gallon,1.582,9.4226,kgCO2/gallon,0.01536092,0.000960905,kgCH4/gallon
diesel,california,net_zero_2050,decrease_agricultual_production,2025,396715610,gallon,1.778,9.4962,kgCO2/gallon,0.01231538,0.000881339,kgCH4/gallon
diesel,north_east,net_zero_2050,population_shift,2025,309055217,gallon,1.691,8.8955,kgCO2/gallon,0.01680036,0.000986047,kgCH4/gallon
diesel,middle_atlantic,net_zero_2050,population_shift,2025,398338562,gallon,1.758,11.2761,kgCO2/gallon,0.0127568,0.001041322,kgCH4/gallon
diesel,south_east,net_zero_2050,population_shift,2025,386489732,gallon,1.69,10.9228,kgCO2/gallon,0.01528744,0.000872894,kgCH4/gallon
diesel,north_central,net_zero_2050,population_shift,2025,381044604,gallon,1.469,9.2934,kgCO2/gallon,0.01464739,0.000928717,kgCH4/gallon
diesel,central,net_zero_2050,population_shift,2025,388144812,gallon,1.58,10.1112,kgCO2/gallon,0.01547873,0.000906578,kgCH4/gallon
diesel,texas,net_zero_2050,population_shift,2025,356835284,gallon,1.725,11.725,kgCO2/gallon,0.01230041,0.000944056,kgCH4/gallon
diesel,north_west,net_zero_2050,population_shift,2025,416153114,gallon,1.425,11.8279,kgCO2/gallon,0.01551245,0.001009795,kgCH4/gallon
diesel,south_west,net_zero_2050,population_shift,2025,455655105,gallon,1.818,11.1345,kgCO2/gallon,0.01630095,0.000949215,kgCH4/gallon
diesel,california,net_zero_2050,population_shift,2025,417439611,gallon,1.718,8.0717,kgCO2/gallon,0.01382532,0.00098234,kgCH4/gallon
diesel,north_east,net_zero_2050,increase_maritime,2025,377905894,gallon,1.672,10.3919,kgCO2/gallon,0.01491653,0.000871958,kgCH4/gallon
diesel,middle_atlantic,net_zero_2050,increase_maritime,2025,444591553,gallon,1.744,8.9216,kgCO2/gallon,0.01488303,0.000729792,kgCH4/gallon
diesel,south_east,net_zero_2050,increase_maritime,2025,356311967,gallon,1.558,11.3384,kgCO2/gallon,0.01168467,0.000963444,kgCH4/gallon
diesel,north_central,net_zero_2050,increase_maritime,2025,445350591,gallon,1.81,8.7948,kgCO2/gallon,0.0158985,0.000856079,kgCH4/gallon
diesel,central,net_zero_2050,increase_maritime,2025,321708431,gallon,1.953,10.4016,kgCO2/gallon,0.01256149,0.000847188,kgCH4/gallon
diesel,texas,net_zero_2050,increase_maritime,2025,430432863,gallon,1.816,10.7744,kgCO2/gallon,0.01303224,0.001006034,kgCH4/gallon
diesel,north_west,net_zero_2050,increase_maritime,2025,356457404,gallon,1.325,11.1702,kgCO2/gallon,0.01675718,0.000739801,kgCH4/gallon
diesel,south_west,net_zero_2050,increase_maritime,2025,423973036,gallon,1.879,11.5195,kgCO2/gallon,0.01484281,0.00077092,kgCH4/gallon
diesel,california,net_zero_2050,increase_maritime,2025,323452244,gallon,1.325,8.4617,kgCO2/gallon,0.01630859,0.00101067,kgCH4/gallon
biodiesel,north_east,business_as_usual,business_as_usual,2025,480861686,gallon,2.7048,11.3122,kgCO2/gallon,0.0044,0.00087619,kgCH4/gallon
biodiesel,middle_atlantic,business_as_usual,business_as_usual,2025,341336044,gallon,2.4987,8.9138,kgCO2/gallon,0.0041,0.000774159,kgCH4/gallon
biodiesel,south_east,business_as_usual,business_as_usual,2025,397664819,gallon,2.5372,10.5531,kgCO2/gallon,0.0039,0.001037552,kgCH4/gallon
biodiesel,north_central,business_as_usual,business_as_usual,2025,399710162,gallon,2.2017,10.763,kgCO2/gallon,0.0047,0.000994515,kgCH4/gallon
biodiesel,central,business_as_usual,business_as_usual,2025,425734878,gallon,2.6614,11.557,kgCO2/gallon,0.0044,0.001024942,kgCH4/gallon
biodiesel,texas,business_as_usual,business_as_usual,2025,451640053,gallon,2.4711,10.8305,kgCO2/gallon,0.0043,0.000785142,kgCH4/gallon
biodiesel,north_west,business_as_usual,business_as_usual,2025,483773168,gallon,2.073,11.5479,kgCO2/gallon,0.0046,0.000720163,kgCH4/gallon
biodiesel,south_west,business_as_usual,business_as_usual,2025,442431595,gallon,2.5307,8.3395,kgCO2/gallon,0.0046,0.000974575,kgCH4/gallon
biodiesel,california,business_as_usual,business_as_usual,2025,451639721,gallon,1.9828,10.6221,kgCO2/gallon,0.0037,0.00096349,kgCH4/gallon
biodiesel,north_east,business_as_usual,agricultual_production_shift,2025,438472926,gallon,2.5773,11.4829,kgCO2/gallon,0.0043,0.001014705,kgCH4/gallon
biodiesel,middle_atlantic,business_as_usual,agricultual_production_shift,2025,332513552,gallon,2.6338,11.0057,kgCO2/gallon,0.0041,0.000916245,kgCH4/gallon
biodiesel,south_east,business_as_usual,agricultual_production_shift,2025,421642503,gallon,2.4007,10.9673,kgCO2/gallon,0.0047,0.000785942,kgCH4/gallon
biodiesel,north_central,business_as_usual,agricultual_production_shift,2025,387068473,gallon,2.0082,8.3319,kgCO2/gallon,0.0043,0.001047676,kgCH4/gallon
biodiesel,central,business_as_usual,agricultual_production_shift,2025,344241290,gallon,2.8032,8.6156,kgCO2/gallon,0.004,0.000744849,kgCH4/gallon
biodiesel,texas,business_as_usual,agricultual_production_shift,2025,429852340,gallon,2.712,10.0191,kgCO2/gallon,0.0035,0.000736579,kgCH4/gallon
biodiesel,north_west,business_as_usual,agricultual_production_shift,2025,424100350,gallon,2.785,11.9414,kgCO2/gallon,0.0038,0.000783306,kgCH4/gallon
biodiesel,south_west,business_as_usual,agricultual_production_shift,2025,444349334,gallon,2.2338,11.6438,kgCO2/gallon,0.0037,0.000729019,kgCH4/gallon
biodiesel,california,business_as_usual,agricultual_production_shift,2025,456920200,gallon,2.5359,9.1689,kgCO2/gallon,0.0045,0.000809123,kgCH4/gallon
biodiesel,north_east,business_as_usual,decrease_agricultual_production,2025,335819339,gallon,2.0328,9.734,kgCO2/gallon,0.0035,0.000778754,kgCH4/gallon
biodiesel,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,395769432,gallon,2.2028,10.7018,kgCO2/gallon,0.0034,0.000772196,kgCH4/gallon
biodiesel,south_east,business_as_usual,decrease_agricultual_production,2025,370637099,gallon,2.1297,10.2041,kgCO2/gallon,0.0043,0.000957392,kgCH4/gallon
biodiesel,north_central,business_as_usual,decrease_agricultual_production,2025,419298240,gallon,2.0287,8.4273,kgCO2/gallon,0.0035,0.000769261,kgCH4/gallon
biodiesel,central,business_as_usual,decrease_agricultual_production,2025,440262965,gallon,1.9258,11.1801,kgCO2/gallon,0.0038,0.000766689,kgCH4/gallon
biodiesel,texas,business_as_usual,decrease_agricultual_production,2025,437942762,gallon,2.3962,10.2996,kgCO2/gallon,0.0036,0.000749649,kgCH4/gallon
biodiesel,north_west,business_as_usual,decrease_agricultual_production,2025,466675638,gallon,2.2871,10.5483,kgCO2/gallon,0.0034,0.00075568,kgCH4/gallon
biodiesel,south_west,business_as_usual,decrease_agricultual_production,2025,429629338,gallon,2.2538,10.3043,kgCO2/gallon,0.0044,0.000970291,kgCH4/gallon
biodiesel,california,business_as_usual,decrease_agricultual_production,2025,472503657,gallon,2.1424,10.6128,kgCO2/gallon,0.0044,0.001007863,kgCH4/gallon
biodiesel,north_east,business_as_usual,population_shift,2025,470375608,gallon,2.562,11.3754,kgCO2/gallon,0.0046,0.0008876,kgCH4/gallon
biodiesel,middle_atlantic,business_as_usual,population_shift,2025,433834286,gallon,2.3752,8.4881,kgCO2/gallon,0.0042,0.00084528,kgCH4/gallon
biodiesel,south_east,business_as_usual,population_shift,2025,414259995,gallon,2.3144,10.5332,kgCO2/gallon,0.0037,0.000715009,kgCH4/gallon
biodiesel,north_central,business_as_usual,population_shift,2025,375492943,gallon,2.513,11.6673,kgCO2/gallon,0.004,0.00079325,kgCH4/gallon
biodiesel,central,business_as_usual,population_shift,2025,464626355,gallon,1.9729,9.4887,kgCO2/gallon,0.0032,0.000900004,kgCH4/gallon
biodiesel,texas,business_as_usual,population_shift,2025,452138211,gallon,2.3491,8.8647,kgCO2/gallon,0.0035,0.00081678,kgCH4/gallon
biodiesel,north_west,business_as_usual,population_shift,2025,440585444,gallon,2.3654,10.9409,kgCO2/gallon,0.004,0.00105179,kgCH4/gallon
biodiesel,south_west,business_as_usual,population_shift,2025,411689750,gallon,2.3052,8.1469,kgCO2/gallon,0.0039,0.00090685,kgCH4/gallon
biodiesel,california,business_as_usual,population_shift,2025,340429744,gallon,2.7967,11.4557,kgCO2/gallon,0.0039,0.000884218,kgCH4/gallon
biodiesel,north_east,business_as_usual,increase_maritime,2025,373175813,gallon,2.6747,10.8765,kgCO2/gallon,0.0041,0.000717412,kgCH4/gallon
biodiesel,middle_atlantic,business_as_usual,increase_maritime,2025,357350862,gallon,2.0442,10.0304,kgCO2/gallon,0.0045,0.000748848,kgCH4/gallon
biodiesel,south_east,business_as_usual,increase_maritime,2025,478364768,gallon,2.2529,10.8554,kgCO2/gallon,0.0039,0.000977448,kgCH4/gallon
biodiesel,north_central,business_as_usual,increase_maritime,2025,329877118,gallon,2.5392,9.0796,kgCO2/gallon,0.0044,0.00086628,kgCH4/gallon
biodiesel,central,business_as_usual,increase_maritime,2025,476624676,gallon,2.7725,11.9226,kgCO2/gallon,0.0045,0.000938289,kgCH4/gallon
biodiesel,texas,business_as_usual,increase_maritime,2025,461945611,gallon,2.5069,9.246,kgCO2/gallon,0.0039,0.001038566,kgCH4/gallon
biodiesel,north_west,business_as_usual,increase_maritime,2025,480456195,gallon,2.48,10.4301,kgCO2/gallon,0.0038,0.000718538,kgCH4/gallon
biodiesel,south_west,business_as_usual,increase_maritime,2025,338873016,gallon,2.4195,10.3313,kgCO2/gallon,0.0032,0.000930816,kgCH4/gallon
biodiesel,california,business_as_usual,increase_maritime,2025,463011748,gallon,2.3572,8.4233,kgCO2/gallon,0.0041,0.001013418,kgCH4/gallon
